Variable,Mean,STD,p-value
Var78,0.3739170907518248,0.15147738309234385,0.5464770730184837
Var79,1.087798072189781,0.15789186899918686,0.945410236122059
Var80,0.8107899296204379,0.14936200370054628,0.575874853993843
Var81,0.5431390613941606,0.08431844068843677,0.19303719224776283
Var82,0.41223004693430654,0.08690994060438509,0.875003384724004
Var83,0.2304033337956204,0.07049249320760824,0.32010085868668126
Var84,0.10341568907299271,0.04481643821971956,0.32675555930170175
Var85,1.8680420038905108,0.45124269828528896,0.03060454086460239
Var86,1.1454706883722627,0.17686737109483175,0.8697598768131745
Var87,0.817008870459854,0.14758055014282379,0.6477227673789931
Var88,0.5414312200656934,0.09303901024419031,0.6674467545781879
Var89,0.38641209575182484,0.10131815742372122,0.5053932810960168
Var90,0.23374870602189782,0.07673907742793205,0.1038096291620168
Var91,0.10548216123357665,0.04579769764641482,0.7707952994914411
Var92,1.565976007766423,0.5681717949276083,0.22881097881898382
Var93,1.0288787895912408,0.221687392627952,0.785332274830058
Var94,0.72177246570073,0.1956778427275404,0.5264853399024843
Var95,0.4834328795693431,0.1171553814134953,0.21496818631981104
Var96,0.33817599957664235,0.09865125074501968,0.46956911930126677
Var97,0.19875712924817515,0.06626109783433214,0.24528960339325367
Var98,0.09265371162043795,0.04037273165882082,0.3236629325084393
Var99,3.5578373819999998,0.8023140380129968,0.6112493626427504
Var100,5.132874302437956,1.1574944832989265,0.6112494591597686
Var101,4.649370159343065,0.47804090326041504,0.27965745052383856
Var102,4.7649921545912415,0.7326662790633062,0.6556278459279308
Var103,6.707623253226277,0.6896672445454318,0.2796576695643105
Var104,6.874430543605839,1.0570139947556727,0.6556282330714068
Var105,6.674554503583942,0.41961890262335305,0.6943198288858969
Var106,9.629347072554744,0.6053823144448729,0.6943183232956838
Var107,0.11170711178832118,0.5752202936724574,0.6166533526679765
Var108,0.03421850687591241,0.27953039176585714,0.33433634378011806
Var109,0.023291789445255482,0.23949991776034682,0.27588918581213984
Var110,0.040266687729927,0.2617078772889827,0.7386596134698861
Var111,0.07898245884671533,0.32958527996762077,0.07501751337643944
Var112,0.07687112627737225,0.3590474529482776,0.8319584781706869
Var113,0.05495810640875913,0.41386662989457407,0.5009203248799239
Var114,0.14435631208029198,0.1374149770940235,0.846554955757332
Var115,0.11222125257664234,0.12626619999933966,0.8495142066808167
Var116,0.05893309517518248,0.050018324456842636,0.794148815491709
Var117,0.04259095668613139,0.028823481745370916,0.7680610662866787
Var118,0.03515465375182482,0.02560716318800405,0.8524243240777876
Var119,0.022861110116788323,0.01724183891443286,0.352675385466867
Var120,0.009515933284671532,0.007183574683492023,0.8227338103958657
Var121,240.96593048248172,473.75385699918024,0.6721844963333683
Var122,5.330017625328467,26.96128087095788,0.8234602751758272
Var123,9.316796048956206,51.83824130469839,0.8964541661019467
Var124,12.170828432532845,32.11903362662461,0.9378538492100827
Var125,41.45538253321168,121.81691331338267,0.6429469098142281
